PERMNO,date,TICKER,COMNAM,PRC,vwretd
18163,12/31/1980,PG,PROCTER & GAMBLE CO,68.875,-0.03441
18163,1/30/1981,PG,PROCTER & GAMBLE CO,67,-0.040087
18163,2/27/1981,PG,PROCTER & GAMBLE CO,71.375,0.015521
18163,3/31/1981,PG,PROCTER & GAMBLE CO,70.5,0.046184
18163,4/30/1981,PG,PROCTER & GAMBLE CO,71.75,-0.011268
18163,5/29/1981,PG,PROCTER & GAMBLE CO,70.5,0.01355
18163,6/30/1981,PG,PROCTER & GAMBLE CO,75.75,-0.010243
18163,7/31/1981,PG,PROCTER & GAMBLE CO,72.625,-0.00308
18163,8/31/1981,PG,PROCTER & GAMBLE CO,69.375,-0.056279
18163,9/30/1981,PG,PROCTER & GAMBLE CO,73.75,-0.063773
18163,10/30/1981,PG,PROCTER & GAMBLE CO,78.25,0.060162
18163,11/30/1981,PG,PROCTER & GAMBLE CO,80.25,0.045849
18163,12/31/1981,PG,PROCTER & GAMBLE CO,80.375,-0.028096
18163,1/29/1982,PG,PROCTER & GAMBLE CO,85.25,-0.02621
18163,2/26/1982,PG,PROCTER & GAMBLE CO,83.25,-0.051126
18163,3/31/1982,PG,PROCTER & GAMBLE CO,82.75,-0.010099
18163,4/30/1982,PG,PROCTER & GAMBLE CO,85.625,0.043267
18163,5/28/1982,PG,PROCTER & GAMBLE CO,83.875,-0.028212
18163,6/30/1982,PG,PROCTER & GAMBLE CO,83,-0.023912
18163,7/30/1982,PG,PROCTER & GAMBLE CO,85.125,-0.020526
18163,8/31/1982,PG,PROCTER & GAMBLE CO,95.125,0.119013
18163,9/30/1982,PG,PROCTER & GAMBLE CO,98,0.016761
18163,10/29/1982,PG,PROCTER & GAMBLE CO,106.125,0.118636
18163,11/30/1982,PG,PROCTER & GAMBLE CO,118.875,0.051935
18163,12/31/1982,PG,PROCTER & GAMBLE CO,118.25,0.014516
18163,1/31/1983,PG,PROCTER & GAMBLE CO,112.5,0.04185
18163,2/28/1983,PG,PROCTER & GAMBLE CO,57.125,0.030215
18163,3/31/1983,PG,PROCTER & GAMBLE CO,60.75,0.03468
18163,4/29/1983,PG,PROCTER & GAMBLE CO,60.125,0.074188
18163,5/31/1983,PG,PROCTER & GAMBLE CO,53.875,0.013226
18163,6/30/1983,PG,PROCTER & GAMBLE CO,55.125,0.037838
18163,7/29/1983,PG,PROCTER & GAMBLE CO,51.75,-0.031568
18163,8/31/1983,PG,PROCTER & GAMBLE CO,53.5,0.003463
18163,9/30/1983,PG,PROCTER & GAMBLE CO,55.625,0.016028
18163,10/31/1983,PG,PROCTER & GAMBLE CO,55.5,-0.028074
18163,11/30/1983,PG,PROCTER & GAMBLE CO,59.25,0.029556
18163,12/30/1983,PG,PROCTER & GAMBLE CO,56.875,-0.010464
18163,1/31/1984,PG,PROCTER & GAMBLE CO,50.5,-0.013023
18163,2/29/1984,PG,PROCTER & GAMBLE CO,47.125,-0.039073
18163,3/30/1984,PG,PROCTER & GAMBLE CO,48.25,0.013389
18163,4/30/1984,PG,PROCTER & GAMBLE CO,47.375,0.002538
18163,5/31/1984,PG,PROCTER & GAMBLE CO,49.25,-0.05232
18163,6/29/1984,PG,PROCTER & GAMBLE CO,52.375,0.023385
18163,7/31/1984,PG,PROCTER & GAMBLE CO,52.625,-0.020621
18163,8/31/1984,PG,PROCTER & GAMBLE CO,56,0.112689
18163,9/28/1984,PG,PROCTER & GAMBLE CO,55.875,0.000404
18163,10/31/1984,PG,PROCTER & GAMBLE CO,58,-0.000074
18163,11/30/1984,PG,PROCTER & GAMBLE CO,57.75,-0.010685
18163,12/31/1984,PG,PROCTER & GAMBLE CO,57,0.023656
18163,1/31/1985,PG,PROCTER & GAMBLE CO,56.25,0.085718
18163,2/28/1985,PG,PROCTER & GAMBLE CO,56.875,0.016896
18163,3/29/1985,PG,PROCTER & GAMBLE CO,55.5,-0.001747
18163,4/30/1985,PG,PROCTER & GAMBLE CO,52.125,-0.002186
18163,5/31/1985,PG,PROCTER & GAMBLE CO,53.875,0.055775
18163,6/28/1985,PG,PROCTER & GAMBLE CO,56.25,0.017091
18163,7/31/1985,PG,PROCTER & GAMBLE CO,57.25,-0.000251
18163,8/30/1985,PG,PROCTER & GAMBLE CO,57.5,-0.004795
18163,9/30/1985,PG,PROCTER & GAMBLE CO,56.375,-0.039826
18163,10/31/1985,PG,PROCTER & GAMBLE CO,63.375,0.044441
18163,11/29/1985,PG,PROCTER & GAMBLE CO,67.125,0.069228
18163,12/31/1985,PG,PROCTER & GAMBLE CO,69.75,0.043061
18163,1/31/1986,PG,PROCTER & GAMBLE CO,65.875,0.009829
18163,2/28/1986,PG,PROCTER & GAMBLE CO,69,0.0725
18163,3/31/1986,PG,PROCTER & GAMBLE CO,73.625,0.053885
18163,4/30/1986,PG,PROCTER & GAMBLE CO,73.5,-0.007903
