caldt,Value Weighted Return (incl. dividends),Value Weighted Return (ex dividends),S&P Composite Return
19961031,0.026798,0.025348,0.026131
19961129,0.076455,0.074218,0.073376
19961231,-0.019815,-0.021518,-0.021505
19970131,0.062779,0.061689,0.061317
19970228,0.007752,0.0058,0.005928
19970331,-0.041653,-0.04331,-0.042614
19970430,0.060274,0.059016,0.058406
19970530,0.061401,0.059272,0.058577
19970630,0.044103,0.042762,0.043453
19970731,0.080388,0.078977,0.078123
19970829,-0.05497,-0.056458,-0.057446
19970930,0.053886,0.052408,0.053154
19971031,-0.032605,-0.03373,-0.034478
19971128,0.046321,0.044625,0.044587
19971231,0.017147,0.0157,0.015732
19980130,0.011994,0.01108,0.01015
19980227,0.071956,0.070303,0.070449
19980331,0.051336,0.050104,0.049946
19980430,0.011275,0.010232,0.009076
19980529,-0.017674,-0.019206,-0.018826
19980630,0.04097,0.0398,0.039438
19980731,-0.010109,-0.011112,-0.011615
19980831,-0.143124,-0.144504,-0.145797
19980930,0.063176,0.061612,0.062396
19981030,0.080111,0.079144,0.080294
19981130,0.062164,0.060685,0.059126
19981231,0.059673,0.058454,0.056375
19990129,0.0428,0.042,0.041009
19990226,-0.031935,-0.033156,-0.032283
19990331,0.038979,0.037774,0.038794
19990430,0.037559,0.036771,0.037944
19990528,-0.023159,-0.024833,-0.02497
19990630,0.054431,0.053398,0.054438
19990730,-0.03022,-0.031084,-0.032046
19990831,-0.004989,-0.006251,-0.006254
19990930,-0.028079,-0.029257,-0.028552
19991029,0.064238,0.063512,0.062539
19991130,0.020822,0.019547,0.019062
19991231,0.062579,0.061549,0.057844
20000131,-0.049606,-0.050273,-0.050904
20000229,-0.017459,-0.018667,-0.020108
20000331,0.098492,0.097434,0.09672
20000428,-0.031585,-0.032308,-0.030796
20000531,-0.022304,-0.023617,-0.021915
20000630,0.026219,0.025497,0.023934
20000731,-0.012795,-0.013559,-0.016341
20000831,0.062594,0.061275,0.060699
20000929,-0.052088,-0.052795,-0.053483
20001031,-0.00412,-0.004829,-0.004949
20001130,-0.078268,-0.079557,-0.080069
20001229,0.00572,0.004861,0.004053
20010131,0.032375,0.031555,0.034637
20010228,-0.090952,-0.092131,-0.092291
20010330,-0.063706,-0.064587,-0.064205
20010430,0.077825,0.076981,0.076814
20010531,0.00687,0.00533,0.00509
20010629,-0.024506,-0.025183,-0.025004
20010731,-0.009317,-0.010248,-0.010772
20010831,-0.063435,-0.064933,-0.064108
20010928,-0.080361,-0.081352,-0.081723
20011031,0.01954,0.018546,0.018099
20011130,0.078787,0.077259,0.075176
20011231,0.009051,0.007849,0.007574
20020131,-0.014324,-0.01532,-0.015574
20020228,-0.019481,-0.020973,-0.020766
20020328,0.037572,0.03669,0.036739
20020430,-0.061001,-0.061826,-0.061418
20020531,-0.0078,-0.009438,-0.009081
20020628,-0.071349,-0.072611,-0.072465
20020731,-0.073987,-0.075074,-0.078995
20020830,0.007061,0.005401,0.004881
20020930,-0.108965,-0.110421,-0.110013
20021031,0.088599,0.087103,0.086436
20021129,0.059019,0.057288,0.05707
20021231,-0.058834,-0.060464,-0.060333
20030131,-0.026579,-0.02786,-0.027415
20030228,-0.015246,-0.017225,-0.017004
20030331,0.010308,0.008967,0.008358
20030430,0.082774,0.081462,0.081044
20030530,0.053251,0.051508,0.050899
20030630,0.012816,0.011351,0.011322
20030731,0.017932,0.016505,0.016224
20030829,0.019597,0.018014,0.017873
20030930,-0.010737,-0.012107,-0.011944
20031031,0.05556,0.05397,0.054962
20031128,0.009259,0.007606,0.007129
20031231,0.05178,0.050107,0.050765
20040130,0.019078,0.017991,0.017276
20040227,0.014403,0.012716,0.012209
20040331,-0.014982,-0.016267,-0.016359
20040430,-0.015584,-0.016719,-0.016791
20040528,0.013629,0.012024,0.012083
20040630,0.019488,0.018019,0.017989
20040730,-0.032954,-0.034111,-0.034291
20040831,0.003807,0.002019,0.002287
20040930,0.010817,0.009347,0.009364
20041029,0.014973,0.013699,0.014014
20041130,0.040559,0.035572,0.038595
20041231,0.033734,0.032086,0.032458
20050131,-0.023824,-0.024749,-0.02529
20050228,0.021152,0.019015,0.018903
20050331,-0.01724,-0.018729,-0.019118
20050429,-0.018926,-0.020076,-0.020109
20050531,0.031994,0.030156,0.029952
20050630,0.001717,0.000139,-0.000143
20050729,0.037364,0.036163,0.035968
20050831,-0.009159,-0.011265,-0.011222
20050930,0.008067,0.006916,0.006949
20051031,-0.015672,-0.016697,-0.017741
20051130,0.038289,0.035675,0.035186
20051230,-0.00006,-0.001396,-0.000952
20060131,0.026442,0.025424,0.025467
20060228,0.002425,0.000167,0.000453
20060331,0.012909,0.011511,0.011065
20060428,0.012064,0.01085,0.012187
20060531,-0.028319,-0.030519,-0.030917
20060630,0.001587,0.000348,0.000087
20060731,0.005571,0.00451,0.005086
20060831,0.02415,0.021679,0.021274
20060929,0.026487,0.025296,0.024566
20061031,0.032527,0.03142,0.031508
20061130,0.018385,0.015887,0.016467
20061229,0.013768,0.012294,0.012616
20070131,0.015313,0.014345,0.014059
20070228,-0.019288,-0.021598,-0.021846
20070330,0.010894,0.009679,0.00998
20070430,0.043991,0.042857,0.043291
20070531,0.034459,0.032154,0.032549
20070629,-0.01662,-0.017829,-0.017816
20070731,-0.031197,-0.032283,-0.031982
20070831,0.015094,0.012859,0.012864
20070928,0.037468,0.035923,0.035794
20071031,0.01736,0.016292,0.014822
20071130,-0.041382,-0.043581,-0.044043
20071231,-0.006116,-0.007903,-0.008628
20080131,-0.061166,-0.062332,-0.061163
